Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Kenny Cooper,DAL,F,1068,4,2,33,0.34,0.17,9,0,0,2007,reg
Hérculez Gómez,COL,F,1537,4,2,51,0.23,0.12,17,6,0,2007,reg
Maurice Edu,TOR,M,2180,4,1,24,0.17,0.04,1,6,1,2007,reg
Gavin Glinton,LA ,F,711,4,0,19,0.51,0.0,5,0,0,2007,reg
Ramon Nunez,CHV,M,1248,3,5,43,0.22,0.36,1,1,0,2007,reg
Michael Harrington,KC ,D,2422,3,4,15,0.11,0.15,7,1,0,2007,reg
Jeff Larentowicz,ATL,M,2455,3,4,28,0.11,0.15,0,5,0,2007,reg
Brad Davis,HOU,M,1275,3,3,27,0.21,0.21,2,1,0,2007,reg
Ned Grabavoy,CLB,M,2093,3,3,37,0.13,0.13,2,2,0,2007,reg
Kyle Beckerman,RSL,M,2430,3,3,52,0.11,0.11,2,9,0,2007,reg
Arturo Alvarez,DAL,M,1898,3,3,61,0.14,0.14,5,2,0,2007,reg
Kerry Zavagnin,KC ,M,2564,3,2,16,0.11,0.07,0,6,0,2007,reg
Stefani Miglioranzi,CLB,M,1621,3,2,18,0.17,0.11,1,3,0,2007,reg
Dominic Oduro,DAL,M,1163,3,2,24,0.23,0.15,17,3,0,2007,reg
John Wolyniec,NY ,F,1032,3,2,24,0.26,0.17,7,1,0,2007,reg
Calen Carr,CHI,F,1134,3,2,33,0.24,0.16,4,5,0,2007,reg
Claudio Suarez,CHV,D,2153,3,1,14,0.13,0.04,0,6,1,2007,reg
Robbie Rogers,CLB,D,597,3,1,15,0.45,0.15,5,0,0,2007,reg
John Cunliffe,CHV,F,494,3,1,16,0.55,0.18,7,0,0,2007,reg
Carey Talley,RSL,D,2195,3,1,28,0.12,0.04,2,6,0,2007,reg
Kyle Martino,LA ,M,1928,3,1,29,0.14,0.05,9,6,2,2007,reg
Roberto Brown,COL,F,696,3,0,14,0.39,0.0,16,2,1,2007,reg
Alan Gordon,LA ,F,828,3,0,19,0.33,0.0,11,1,0,2007,reg
Carlos Pavon,LA ,F,978,3,0,29,0.28,0.0,24,0,0,2007,reg
Collin Samuel,TOR,F,1510,3,0,41,0.18,0.0,9,2,0,2007,reg
Dave van den Bergh,NY ,M,2228,2,8,36,0.08,0.32,3,1,0,2007,reg
Sasha Victorine,KC ,M,2135,2,7,37,0.08,0.3,5,1,0,2007,reg
Dane Richards,NY ,M,2335,2,6,24,0.08,0.23,12,5,0,2007,reg
Khano Smith,NE ,M,2210,2,6,36,0.08,0.24,5,4,0,2007,reg
Carl Robinson,TOR,M,2340,2,4,14,0.08,0.15,0,6,0,2007,reg
Jesse Marsch,CHV,M,2425,2,4,15,0.07,0.15,0,9,0,2007,reg
Jose Burciaga Jr.,KC ,D,1826,2,4,26,0.1,0.2,0,5,1,2007,reg
Francisco Mendoza,CHV,M,2459,2,4,36,0.07,0.15,10,3,0,2007,reg
Chris Klein,LA ,M,2880,2,4,40,0.06,0.13,8,1,0,2007,reg
Conor Casey,COL,F,1033,2,3,12,0.17,0.26,9,3,0,2007,reg
Jack Jewsbury,KC ,M,2316,2,3,25,0.08,0.12,1,5,0,2007,reg
Ricardo Clark,HOU,M,1635,2,3,28,0.11,0.17,3,2,1,2007,reg
Alecko Eskandarian,RSL,F,1913,2,3,58,0.09,0.14,16,9,1,2007,reg
Eddie Robinson,HOU,D,2187,2,2,10,0.08,0.08,0,11,1,2007,reg
Fabian Espindola,RSL,F,602,2,2,13,0.3,0.3,7,3,1,2007,reg
Paulo Nagamura,CHV,M,2172,2,2,19,0.08,0.08,1,8,0,2007,reg
Colin Clark,COL,M,1321,2,2,26,0.14,0.14,3,2,0,2007,reg
Francis Doe,NY ,F,428,2,1,17,0.42,0.21,15,1,0,2007,reg
Dema Kovalenko,NY ,M,1377,2,1,21,0.13,0.07,3,5,0,2007,reg
Troy Roberts,LA ,D,1140,2,0,4,0.16,0.0,1,3,1,2007,reg
Drew Moor,COL,D,2495,2,0,7,0.07,0.0,1,3,0,2007,reg
Kyle Brown,RSL,F,286,2,0,7,0.63,0.0,3,0,0,2007,reg
Chad Marshall,CLB,D,1020,2,0,8,0.18,0.0,0,0,0,2007,reg
Omar Cummings,COL,F,182,2,0,10,0.99,0.0,3,0,0,2007,reg
Kei Kamara,COL,F,475,2,0,16,0.38,0.0,5,0,0,2007,reg
Paulo Wanchope,CHI,F,932,2,0,26,0.19,0.0,10,2,0,2007,reg
Dax McCarty,NSH,M,1604,1,7,13,0.06,0.39,0,0,0,2007,reg
Carlos Marinelli,KC ,M,1674,1,5,42,0.05,0.27,1,7,0,2007,reg
Duncan Oughton,CLB,D,1231,1,4,9,0.07,0.29,1,3,0,2007,reg
Marc Burch,DC ,D,1362,1,3,9,0.07,0.2,1,3,0,2007,reg
Andy Welsh,TOR,M,1335,1,3,14,0.07,0.2,4,2,0,2007,reg
Andy Williams,RSL,M,1277,1,3,19,0.07,0.21,3,1,1,2007,reg
Brian Mullan,HOU,D,2407,1,3,19,0.04,0.11,11,4,0,2007,reg
Chris Gbandi,DAL,D,1700,1,2,5,0.05,0.11,2,7,1,2007,reg
Lawson Vaughn,CHV,D,1901,1,2,5,0.05,0.09,1,6,1,2007,reg
Javier Morales,RSL,M,369,1,2,6,0.24,0.49,1,2,0,2007,reg
Nicholas Addlery,DC ,F,455,1,2,9,0.2,0.4,10,1,0,2007,reg
Facundo Erpen,COL,D,2056,1,2,11,0.04,0.09,0,6,1,2007,reg
Ivan Guerrero,CHI,M,1490,1,2,12,0.06,0.12,3,0,0,2007,reg
Laurent Merlin,CHV,F,804,1,2,15,0.11,0.22,8,1,0,2007,reg
Freddy Adu,RSL,F,899,1,2,24,0.1,0.2,6,1,0,2007,reg
Mehdi Ballouchy,COL,M,1853,1,2,35,0.05,0.1,5,8,1,2007,reg
Orlando Perez,CHV,D,1033,1,1,3,0.09,0.09,0,5,0,2007,reg
Andrew Boyens,TOR,D,1825,1,1,4,0.05,0.05,0,4,2,2007,reg
Chris Wondolowski,SJ,F,307,1,1,6,0.29,0.29,4,0,0,2007,reg
Hunter Freeman,NY ,D,1342,1,1,6,0.07,0.07,0,2,0,2007,reg
Eloy Colombano,KC ,M-F,310,1,1,6,0.29,0.29,4,1,0,2007,reg
Willian Oliveira,CHI,M,381,1,1,7,0.24,0.24,3,0,0,2007,reg
Clarence Goodson,DAL,D,2297,1,1,9,0.04,0.04,0,6,0,2007,reg
Kevin Goldthwaite,HOU,D,1466,1,1,11,0.06,0.06,0,4,1,2007,reg
Joshua Gros,DC ,M-D,1854,1,1,11,0.05,0.05,5,3,0,2007,reg
Jonathan Bornstein,CHI,D,2070,1,1,14,0.04,0.04,1,1,0,2007,reg
Gonzalo Segares,CHI,D,2406,1,1,15,0.04,0.04,4,6,1,2007,reg
Marcos Gonzalez,CLB,D,2356,1,1,21,0.04,0.04,0,4,1,2007,reg
Nicolas Hernandez,COL,F,1474,1,1,29,0.06,0.06,7,0,0,2007,reg
Patrick Ianni,HOU,D-M,961,1,0,1,0.09,0.0,0,3,0,2007,reg
Sal Caccavale,NY ,M,2,1,0,1,45.0,0.0,0,0,0,2007,reg
Michael Parkhurst,NE ,D,2197,1,0,1,0.04,0.0,0,0,0,2007,reg
Jeff Curtin,CHI,D,248,1,0,2,0.36,0.0,0,3,1,2007,reg
Logan Pause,CHI,M,1905,1,0,2,0.05,0.0,0,1,0,2007,reg
John Thorrington,CHI,M,31,1,0,2,2.9,0.0,0,0,0,2007,reg
Matias Mantilla,RSL,D,828,1,0,2,0.11,0.0,0,6,0,2007,reg
Floyd Franks,CHI,M,223,1,0,3,0.4,0.0,3,1,0,2007,reg
Jerson Monteiro,CHI,F,154,1,0,3,0.58,0.0,1,0,0,2007,reg
Mike Petke,COL,D,2018,1,0,4,0.04,0.0,1,4,0,2007,reg
Eddie Pope,RSL,D,2248,1,0,5,0.04,0.0,0,2,0,2007,reg
Rod Dyachenko,DC ,M,378,1,0,5,0.24,0.0,3,3,0,2007,reg
Matt Taylor,CHV,F,156,1,0,5,0.58,0.0,3,0,0,2007,reg
Miguel Canizalez,TOR,D,413,1,0,5,0.22,0.0,2,0,0,2007,reg
Kevin Harmse,LA ,M,1171,1,0,6,0.08,0.0,0,6,1,2007,reg
Ryan Cochrane,HOU,D,2059,1,0,6,0.04,0.0,0,6,1,2007,reg
Ugo Ihemelu,COL,D,2017,1,0,7,0.04,0.0,0,4,2,2007,reg
Tyrone Marshall,LA ,D,2159,1,0,10,0.04,0.0,0,5,1,2007,reg
Ezra Hendrickson,CLB,D,1851,1,0,11,0.05,0.0,1,3,1,2007,reg
Dasan Robinson,CHI,D,1819,1,0,11,0.05,0.0,2,4,0,2007,reg
Jim Brennan,TOR,D,2430,1,0,13,0.04,0.0,1,6,0,2007,reg
Jason Garey,CLB,F,447,1,0,13,0.2,0.0,5,1,0,2007,reg
Denilson,DAL,M,606,1,0,14,0.15,0.0,2,3,0,2007,reg
Jose Cancela,COL,M,611,1,0,15,0.15,0.0,1,0,0,2007,reg
Wells Thompson,NE ,D,1215,1,0,16,0.07,0.0,2,6,0,2007,reg
Jay Heaps,NE ,D,2475,1,0,16,0.04,0.0,1,5,0,2007,reg
Jacob Thomas,CLB,F,402,1,0,16,0.22,0.0,4,0,0,2007,reg
Jacob Peterson,COL,F,1118,1,0,24,0.08,0.0,5,1,0,2007,reg
Terry Cooke,COL,M,2288,0,7,21,0.0,0.28,2,0,0,2007,reg
Richard Mulrooney,HOU,M,2521,0,5,9,0.0,0.18,0,2,0,2007,reg
Peter Vagenas,LA ,M,1786,0,5,13,0.0,0.25,0,2,0,2007,reg
Brian Carroll,DC ,M,1801,0,4,7,0.0,0.2,1,7,0,2007,reg
Corey Ashe,HOU,M,811,0,4,10,0.0,0.44,5,2,0,2007,reg
Ronnie O'Brien,TOR,M,1139,0,4,22,0.0,0.32,0,1,0,2007,reg
Pablo Ricchetti,DAL,D-M,1600,0,3,6,0.0,0.17,0,7,0,2007,reg
Chris Pozniak,TOR,D,1497,0,3,9,0.0,0.18,1,3,1,2007,reg
Marvell Wynne,NY ,D,1963,0,3,9,0.0,0.14,3,2,0,2007,reg
Frankie Hejduk,CLB,D,2160,0,3,10,0.0,0.13,2,5,0,2007,reg
Claudio Reyna,NY ,M,1723,0,3,14,0.0,0.16,1,2,0,2007,reg
Clyde Simms,DC ,M,1505,0,3,15,0.0,0.18,0,1,0,2007,reg
Alex Zotinca,CHV,D,1667,0,3,15,0.0,0.16,2,6,1,2007,reg
Ryan Raybould,KC ,D-M,424,0,2,1,0.0,0.42,0,2,0,2007,reg
Marcelo Saragosa,DAL,M,800,0,2,3,0.0,0.23,0,4,1,2007,reg
Wade Barrett,HOU,D,2649,0,2,3,0.0,0.07,2,2,0,2007,reg
Chris Wingert,COL,D,1590,0,2,4,0.0,0.11,0,4,0,2007,reg
Craig Waibel,HOU,D,1639,0,2,7,0.0,0.11,0,1,0,2007,reg
Bobby Boswell,DC ,D,1963,0,2,7,0.0,0.09,0,5,1,2007,reg
Chris Armas,CHI,M,2194,0,2,7,0.0,0.08,0,3,0,2007,reg
David Beckham,LA ,M,252,0,2,8,0.0,0.71,0,0,0,2007,reg
Guy-Roland Kpene,DC ,F,626,0,2,18,0.0,0.29,8,2,0,2007,reg
Seth Stammler,NY ,M-D,2547,0,2,26,0.0,0.07,0,3,0,2007,reg
Taylor Graham,NY ,D,335,0,1,0,0.0,0.27,0,0,0,2007,reg
Kasali Yinka Casal,DC ,M,104,0,1,0,0.0,0.87,1,1,0,2007,reg
Mike Randolph,LA ,D,1451,0,1,1,0.0,0.06,0,3,0,2007,reg
Rusty Pierce,CLB,D,1580,0,1,1,0.0,0.06,1,5,0,2007,reg
Rodrigo López,CHV,M,62,0,1,1,0.0,1.45,0,0,0,2007,reg
Jack Stewart,RSL,D,1006,0,1,2,0.0,0.09,1,1,0,2007,reg
Nick Garcia,KC ,D,2420,0,1,2,0.0,0.04,0,4,0,2007,reg
Brad Evans,CLB,D-M,108,0,1,2,0.0,0.83,0,0,0,2007,reg
Avery John,NE ,D,1559,0,1,2,0.0,0.06,0,4,0,2007,reg
Markus Schopp,NY ,D-M,228,0,1,3,0.0,0.39,0,1,0,2007,reg
Chris Lancos,RSL,M-D,811,0,1,3,0.0,0.11,0,3,0,2007,reg
Josh Tudela,LA ,M,779,0,1,3,0.0,0.12,0,2,0,2007,reg
Abel Xavier,LA ,D,900,0,1,4,0.0,0.1,0,3,0,2007,reg
Sinisa Ubiparipovic,NY ,F-M,232,0,1,4,0.0,0.39,0,0,0,2007,reg
Ricardinho,DAL,F,279,0,1,5,0.0,0.32,3,0,0,2007,reg
Wilman Conde,CHI,D,595,0,1,6,0.0,0.15,0,3,1,2007,reg
Kyle Veris,LA ,D,542,0,1,6,0.0,0.17,0,3,0,2007,reg
Atiba Harris,RSL,D,1257,0,1,8,0.0,0.07,8,5,0,2007,reg
Pablo Mastroeni,COL,M,1864,0,1,9,0.0,0.05,0,7,1,2007,reg
Thiago,CHI,M,568,0,1,10,0.0,0.16,2,3,0,2007,reg
Diego Gutierrez,CHI,D,1890,0,1,10,0.0,0.05,0,7,1,2007,reg
Jeff Parke,NY ,D,2246,0,1,10,0.0,0.04,0,2,0,2007,reg
Ricardo Virtuoso,CLB,F,451,0,1,11,0.0,0.2,5,1,0,2007,reg
Danny O'Rourke,CLB,D,2426,0,1,11,0.0,0.04,0,6,1,2007,reg
Kelly Gray,HOU,D-M,1195,0,1,14,0.0,0.08,1,1,0,2007,reg
Justin Mapp,CHI,M,808,0,1,15,0.0,0.11,3,0,0,2007,reg
Andrea Lombardo,TOR,F,726,0,1,17,0.0,0.12,18,2,0,2007,reg
Jordan Harvey,LAFC,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Stephen Keel,COL,D,177,0,0,0,0.0,0.0,0,1,0,2007,reg
David Guzman,TOR,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Yherland McDonald,COL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Tim Regan,NY ,D,142,0,0,0,0.0,0.0,0,0,0,2007,reg
Rich Asante,TOR,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Stephen Lumley,TOR,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Nick LaBrocca,COL,M,67,0,0,0,0.0,0.0,0,0,0,2007,reg
John DiRaimondo,COL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Abdus Ibrahim,DAL,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Andrew Daniels,DAL,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Bobby Burling,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Joey Worthen,RSL,F-M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Julian Nash,HOU,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Erik Ustruck,HOU,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Nick Hatzke,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Mike Chabala,HOU,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
John Michael Hayden,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Mpho Moloi,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Michael Dello-Russo,DAL,D-M,90,0,0,0,0.0,0.0,0,0,0,2007,reg
Blake Wagner,DAL,D-M,90,0,0,0,0.0,0.0,0,0,0,2007,reg
Anthony Wallace,DAL,D,69,0,0,0,0.0,0.0,0,0,0,2007,reg
Tommy Krizanovic,DAL,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Scott Jones,DAL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Eric Ebert,HOU,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Mike Sambursky,HOU,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Ben Hunter,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Aaron Chandler,CLB,M-F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Bryan Arguez,DC ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Brandon Moss,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Jed Zayner,CLB,D,20,0,0,0,0.0,0.0,0,0,0,2007,reg
Jeff Carroll,DC ,M-D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
John Wilson,DC ,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Brad North,DC ,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Ryan McMahen,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Jamil Walker,DC ,M-F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Kiki Willis,DC ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Will John,KC ,M-F,26,0,0,0,0.0,0.0,0,0,0,2007,reg
Aaron Hohlbein,KC ,D,360,0,0,0,0.0,0.0,0,1,0,2007,reg
A.J. Godbolt,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Lance Watson,KC ,D,23,0,0,0,0.0,0.0,0,0,0,2007,reg
Edson Elcock,KC ,M-F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Matt Groenwald,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Elie Ikangu,NY ,M,8,0,0,0,0.0,0.0,0,0,0,2007,reg
Jerrod Laventure,NY ,F,4,0,0,0,0.0,0.0,0,0,0,2007,reg
Randi Patterson,NY ,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Hugh MacDonald,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Carlos Mendes,NY ,D,1709,0,0,0,0.0,0.0,0,2,0,2007,reg
Blake Camp,NY ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Gary Flood,NE ,M,197,0,0,0,0.0,0.0,0,0,0,2007,reg
Miguel Gonzalez,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Chris Loftus,NE ,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Ryan Solle,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Arsene Oka,NE ,M,9,0,0,0,0.0,0.0,0,0,0,2007,reg
Michael Kraus,KC ,M-F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Willy Guadarrama,KC ,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Amaechi Igwe,NE ,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Willie Sims,NE ,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Joe Franchino,NE ,M,57,0,0,0,0.0,0.0,0,0,0,2007,reg
Carlos Llamosa,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Daniel Osorno,COL,M,55,0,0,0,0.0,0.0,0,0,0,2007,reg
Daniel Woolard,CHI,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Erik Hort,CHI,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Osei Telesford,CHI,D,2,0,0,0,0.0,0.0,0,0,0,2007,reg
Jordan Russolillo,CHI,D,46,0,0,0,0.0,0.0,0,0,0,2007,reg
Ante Jazic,LA ,D,1397,0,0,0,0.0,0.0,2,2,0,2007,reg
Luis Tejada,PAN,F,2,0,0,0,0.0,0.0,1,0,0,2007,reg
Ian Russell,LA ,D,193,0,0,0,0.0,0.0,1,0,0,2007,reg
Marshall Leonard,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Roberto Mina,DAL,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Tony Lochhead,NE ,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Sainey Nyassi,NE ,M,8,0,0,0,0.0,0.0,0,0,0,2007,reg
Chase Wileman,DAL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Leonard Griffin,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Israel Sesay,LA ,F,1,0,0,0,0.0,0.0,0,0,0,2007,reg
Amir Lowery,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Abdoulie Mansally,NE ,D,14,0,0,0,0.0,0.0,0,1,0,2007,reg
Daniel Hernandez,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Sebastian Botero,DAL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Sandy Gbandi,DAL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
A.J. Gray,TOR,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Kenneth Hoerner,HOU,M-F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Chris Karcz,NY ,M-F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Andrei Pacheco,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Clifton Wilmes,COL,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Bryan Byrne,NE ,M,19,0,0,0,0.0,0.0,0,1,0,2007,reg
Andrew Peterson,CLB,D,75,0,0,0,0.0,0.0,0,0,0,2007,reg
Mike Caso,LA ,F,45,0,0,0,0.0,0.0,0,0,0,2007,reg
Mira Mupier,DC ,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Kyle Helton,NE ,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Nana Attakora,TOR,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Cristian Nunez,TOR,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Erasmo Solorzano,CHV,M,1,0,0,0,0.0,0.0,0,0,0,2007,reg
Desmond Brooks,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Duke Hashimoto,RSL,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Dustin Kirby,RSL,D,79,0,0,0,0.0,0.0,0,0,0,2007,reg
Jeff Rowland,RSL,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Willis Forko,RSL,D,990,0,0,0,0.0,0.0,2,2,0,2007,reg
Nikolas Besagno,RSL,M,88,0,0,0,0.0,0.0,0,0,0,2007,reg
Christian Jimenez,RSL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Steven Curfman,RSL,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Kenny Cutler,RSL,M,32,0,0,0,0.0,0.0,0,0,0,2007,reg
David Arvizu,CHV,F,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Jason Hernandez,CHV,D,929,0,0,0,0.0,0.0,0,3,0,2007,reg
Eder Robles,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Carlos Borja,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Jorge Barrera,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Mohammed Sethi,CHV,M,0,0,0,0,0.0,0.0,0,0,0,2007,reg
Ryan Junge,CLB,D,15,0,0,0,0.0,0.0,0,0,0,2007,reg
Abbe Ibrahim,TOR,F,4,0,0,1,0.0,0.0,0,0,0,2007,reg
Jorge Villafaña,POR,F,14,0,0,1,0.0,0.0,0,0,0,2007,reg
Bruno Menezes,CHI,M,208,0,0,1,0.0,0.0,0,0,0,2007,reg
Adam Moffat,CLB,M,90,0,0,1,0.0,0.0,0,0,0,2007,reg
Mike Banner,CHI,M,56,0,0,1,0.0,0.0,0,0,0,2007,reg
Pascal Bedrossian,CHI,F,165,0,0,1,0.0,0.0,5,0,0,2007,reg
Adam Braz,TOR,D,771,0,0,1,0.0,0.0,0,5,0,2007,reg
Marco Reda,TOR,D,573,0,0,1,0.0,0.0,0,0,1,2007,reg
David Wagenfuhr,DAL,D,828,0,0,1,0.0,0.0,0,1,0,2007,reg
Shavar Thomas,CHV,D,2037,0,0,1,0.0,0.0,0,2,1,2007,reg
Ty Harden,LA ,D,2086,0,0,1,0.0,0.0,0,4,0,2007,reg
Quavas Kirk,LA ,F,437,0,0,1,0.0,0.0,1,0,0,2007,reg
Nico Colaluca,COL,M,62,0,0,1,0.0,0.0,0,0,0,2007,reg
Tyler Hemming,TOR,M,239,0,0,1,0.0,0.0,1,0,0,2007,reg
Kosuke Kimura,COL,D,360,0,0,2,0.0,0.0,0,1,0,2007,reg
Daniel Wasson,COL,D,275,0,0,2,0.0,0.0,0,2,0,2007,reg
Tyson Wahl,KC ,D,415,0,0,2,0.0,0.0,0,0,0,2007,reg
Stephen deRoux,DC ,M-D,115,0,0,2,0.0,0.0,3,0,0,2007,reg
Chris Leitch,NY ,D,1018,0,0,2,0.0,0.0,2,0,0,2007,reg
Gabe Gala,TOR,M,222,0,0,2,0.0,0.0,0,0,0,2007,reg
Joey Melo,TOR,M,110,0,0,2,0.0,0.0,0,1,0,2007,reg
Anthony Hamilton,CHV,F,22,0,0,2,0.0,0.0,1,0,0,2007,reg
Domenic Mediate,DC ,M,330,0,0,3,0.0,0.0,4,1,0,2007,reg
Bryan Namoff,DC ,D,2089,0,0,3,0.0,0.0,1,6,0,2007,reg
Jim Curtin,CHI,D,856,0,0,3,0.0,0.0,0,2,0,2007,reg
Ritchie Kotschau,RSL,D,1664,0,0,3,0.0,0.0,1,3,1,2007,reg
Santino Quaranta,LA ,M-F,264,0,0,3,0.0,0.0,0,0,0,2007,reg
Paul Dalglish,HOU,F,259,0,0,3,0.0,0.0,4,0,0,2007,reg
Danny Szetela,CLB,M,379,0,0,3,0.0,0.0,0,1,0,2007,reg
James Riley,NE ,D,2137,0,0,4,0.0,0.0,0,4,0,2007,reg
Dan Gargan,COL,D,1029,0,0,4,0.0,0.0,0,0,0,2007,reg
Tony Sanneh,COL,D,524,0,0,4,0.0,0.0,0,2,0,2007,reg
Daniel Torres,RSL,D,825,0,0,4,0.0,0.0,0,1,0,2007,reg
Bakary Soumare,CHI,D,1072,0,0,4,0.0,0.0,0,6,1,2007,reg
Bobby Rhine,DAL,M,860,0,0,5,0.0,0.0,0,2,1,2007,reg
Alex Yi,DAL,D,1178,0,0,5,0.0,0.0,0,3,0,2007,reg
Mike Magee,NY ,M,144,0,0,5,0.0,0.0,0,0,0,2007,reg
Justin Moose,DC ,M,318,0,0,6,0.0,0.0,0,1,0,2007,reg
Aaron Pitchkolan,DAL,D,1142,0,0,6,0.0,0.0,1,4,0,2007,reg
Adrian Serioux,DAL,D,806,0,0,6,0.0,0.0,0,1,0,2007,reg
Jamie Watson,RSL,M,190,0,0,6,0.0,0.0,0,0,0,2007,reg
Jean-Martial Kipre,RSL,D-M,1427,0,0,7,0.0,0.0,2,4,0,2007,reg
Brandon Prideaux,COL,D,1770,0,0,7,0.0,0.0,0,4,1,2007,reg
C.J. Brown,CHI,D,2565,0,0,7,0.0,0.0,0,7,0,2007,reg
Tim Ward,CLB,D,539,0,0,7,0.0,0.0,0,0,0,2007,reg
Devon McTavish,DC ,D,1825,0,0,7,0.0,0.0,0,2,0,2007,reg
Nathan Sturgis,LA ,M,1146,0,0,8,0.0,0.0,0,2,0,2007,reg
Greg Vanney,COL,D,2041,0,0,8,0.0,0.0,0,5,0,2007,reg
Brian Plotkin,CHI,M,460,0,0,8,0.0,0.0,3,0,0,2007,reg
Amado Guevara,CHV,M,326,0,0,9,0.0,0.0,1,0,0,2007,reg
Chris Albright,LA ,D,375,0,0,9,0.0,0.0,0,1,0,2007,reg
Kurt Morsink,KC ,M,894,0,0,10,0.0,0.0,0,7,0,2007,reg
Joe Vide,NY ,M,1107,0,0,10,0.0,0.0,0,4,1,2007,reg
Ryan Pore,KC ,M,456,0,0,11,0.0,0.0,2,0,0,2007,reg
Jason Kreis,RSL,M,358,0,0,11,0.0,0.0,0,1,0,2007,reg
Jimmy Conrad,KC ,D,2172,0,0,13,0.0,0.0,1,4,1,2007,reg
